,title,rating,price,image_link
0,Walker's Game Ear Razor Slim Electronic Muff,4.8,43.49,https://m.media-amazon.com/images/I/61TIFDsxVBL._AC_UL320_.jpg
1,ASURION 2 Year Portable Electronic Accident Protection Plan with Tech Support $250-299.99,4.6,24.99,https://m.media-amazon.com/images/I/31L53R9d71L._AC_UL320_.jpg
2,ASURION 3 Year Electronics Protection Plan with Tech Support $30-39.99,4.5,4.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
3,ASURION 3 Year Electronics Protection Plan with Tech Support $100-124.99,4.5,21.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
4,ASURION 3 Year Electronics Protection Plan with Tech Support $700-799.99,4.4,73.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
5,ASURION 3 Year Electronics Protection Plan with Tech Support $175-199.99,4.5,21.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
6,ASURION 3 Year Electronics Protection Plan with Tech Support $200-249.99,4.6,33.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
7,"Ernie Ball Regular Slinky Nickel Wound Sets, .010 - .046 (3 Pack)",4.8,15.49,https://m.media-amazon.com/images/I/71Ev4nKqnQS._AC_UL320_.jpg
8,ASURION 3 Year Electronics Protection Plan with Tech Support $450-499.99,4.5,57.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
9,ASURION 3 Year Electronics Protection Plan with Tech Support $125-149.99,4.6,21.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
10,Electronics,3.8,186.66,https://m.media-amazon.com/images/I/81HJ3Aey2HL._AC_UL320_.jpg
11,ASURION 3 Year Electronics Protection Plan with Tech Support $250-299.99,4.5,33.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
12,"Arachnid Cricket Pro 800 Electronic Dartboard with NylonTough Segments for Improved Durability and Playability and Micro-thin Segment Dividers for ReducedBounce-outs , Black",4.5,199.99,https://m.media-amazon.com/images/I/81OKt9mzADL._AC_UL320_.jpg
13,"Alesis Drums Nitro Mesh Kit - Eight Piece All Mesh Electronic Drum Kit With Super Solid Aluminum Rack, 385 Sounds, 60 Play Along Tracks, Connection Cables, Drum Sticks & Drum Key Included",4.6,379.00,https://m.media-amazon.com/images/I/81Bc6AMmkGL._AC_UL320_.jpg
14,ASURION 3 Year Electronics Protection Plan with Tech Support $90-99.99,4.5,10.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
15,MOS Pack Grande Electronics Backpack - Onyx,4.3,119.19,https://m.media-amazon.com/images/I/71iW8cUE27L._AC_UL320_.jpg
16,"Lowepro GearUp Pouch Medium: Laptop Accessory Case and Travel Organizer for Electronic Devices, Cables, Adapters, Chargers and More",4.6,24.99,https://m.media-amazon.com/images/I/61Mhsyow4kL._AC_UL320_.jpg
17,"Belkin 6-Outlet USB Surge Protector, Wall Mount - Ideal for Mobile Devices, Personal Electronics, Small Appliances and More (900 Joules)",4.8,20.75,https://m.media-amazon.com/images/I/611tLIJNanL._AC_UL320_.jpg
18,"GROHE 36469000 BAU Cosmopolitan E Touchless Electronic Faucet with Temperature Control Lever, AC-Powered, Starlight Chrome",3.5,206.80,https://m.media-amazon.com/images/I/61RoeiDXyiL._AC_UL320_.jpg
19,ASURION 4 Year Office Equipment Protection Plan with Tech Support $250-299.99,4.6,44.99,https://m.media-amazon.com/images/I/517CEz1D2VL._AC_UL320_.jpg
20,ASURION 4 Year Office Equipment Protection Plan with Tech Support $200-249.99,4.6,44.99,https://m.media-amazon.com/images/I/517CEz1D2VL._AC_UL320_.jpg
21,DJI FPV Goggles V2 for Drone Racing Immersive Experience,4.4,569.00,https://m.media-amazon.com/images/I/61p407xjlBL._AC_UL320_.jpg
22,ASURION 4 Year Kitchen Protection Plan $500-599.99,4.4,79.99,https://m.media-amazon.com/images/I/51FOMmz+gdL._AC_UL320_.jpg
23,"D'Addario EXL110-3D Nickel Wound Electric Guitar Strings, Regular Light, 10-46, 3 Sets",4.8,13.99,https://m.media-amazon.com/images/I/81GF5wh1cVL._AC_UL320_.jpg
24,"Alesis Debut Kit – Kids Drum Set With 4 Mesh Electric Drum Set Pads, 120 Sounds, 60 Melodics Lessons, Drum Stool, Drum Sticks and Headphones",4.6,269.00,https://m.media-amazon.com/images/I/71W8rtQ7U7L._AC_UL320_.jpg
25,ASURION 4 Year Office Equipment Protection Plan with Tech Support $100-124.99,4.6,29.99,https://m.media-amazon.com/images/I/517CEz1D2VL._AC_UL320_.jpg
26,ASURION 4 Year Laptop Accident Protection Plan with Tech Support $200-249.99,4.5,69.99,https://m.media-amazon.com/images/I/51nWIqBH5OL._AC_UL320_.jpg
27,ELECTRONICS: Analog and Digital,4.3,6.49,https://m.media-amazon.com/images/I/81meCjsb60L._AC_UL320_.jpg
28,ASURION 3 Year Electronics Protection Plan with Tech Support $50-59.99,4.5,6.99,https://m.media-amazon.com/images/I/51y2YAXtNnL._AC_UL320_.jpg
